year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20110101,-5,-20.2,5.5,0.4,4307
20110102,-3.5,-18.4,10.7,0,4307
20110103,-3.3,-17.7,7.8,1.8,4307
20110104,-2,-17.9,8.8,0,4307
20110105,-0.7,-13.4,8.4,0,4307
20110106,-4.1,-18.2,6.5,0.1,4307
20110107,-5.5,-23.6,7.5,0,4299
20110108,-2.6,-20.1,10.4,0,4369
20110109,-2.9,-19,8.6,0,4369
20110110,-6.6,-21.6,6.6,0,4369
20110111,-3.6,-17.7,6.9,0.4,4253
20110112,-5.1,-18,5.7,0,4302
20110113,-5.6,-21.2,8.1,0,4379
20110114,-2.7,-18,10.3,0.1,4494
20110115,-7.7,-21,6.6,0.2,4504
20110116,-10.1,-24.3,2,0.1,4504
20110117,-7.1,-23.6,7,0,4504
20110118,-5,-21.5,6.9,0,4390
20110119,-4.2,-19.2,7.4,0,4329
20110120,-5.4,-18.9,6.8,0,4459
20110121,-5,-18.3,8.9,0,4486
20110122,-3.2,-16.8,9.4,0,4354
20110123,-2.1,-15.7,10.2,1.4,4354
20110124,-4.7,-19,6,0.3,4354
20110125,-6,-22.5,8.2,0,4502
20110126,-5.9,-22.5,7.6,0,4579
20110127,-5.8,-22.2,8.7,0,4650
20110128,-4.5,-16.5,7.7,0,4808
20110129,-6.5,-21,4.5,0.2,4829
20110130,-7.3,-22.4,2.6,0.2,4829
20110131,-4.8,-21.9,6.7,0,4829
20110201,-0.2,-16.1,10.9,0,4780
20110202,1.5,-10.6,12.9,0,4713
20110203,1,-12.8,13.3,0,4713
20110204,1.9,-10.4,14.2,0,4713
20110205,1.4,-10.6,14.2,0,4713
20110206,2.5,-8.6,15.9,0,4713
20110207,2,-10.8,14,0,4713
20110208,2.6,-6.1,12.5,1.3,4893
20110209,0.8,-10.6,12.1,0,4979
20110210,-1,-13,9.2,0.3,5440
20110211,-0.8,-11.3,10.1,4.5,5337
20110212,-3.5,-14.5,5.4,1.9,5311
20110213,-3.7,-23.8,6.4,0,5311
20110214,-2.4,-12.4,7.9,3.4,5311
20110215,-1.3,-20.4,9.1,0,4695
20110216,0.8,-14.1,11.6,1.5,4771
20110217,1.6,-6.4,12.7,3.8,4661
20110218,1.3,-12.4,11.9,0,4612
20110219,2.3,-9.6,13.2,0,4612
20110220,4.1,-10,15.8,0,4612
20110221,4.2,-10.1,14.4,0,4612
20110222,4,-12.9,15.8,0,4350
20110223,4.8,-9,16.6,0,4378
20110224,7.4,-6,21.3,0,4378
20110225,4.8,-8.8,18.2,0,4292
20110226,5.5,-12.6,18,0.1,4298
20110227,6.1,-3.6,22.3,43,4298
20110228,4.9,-3.8,16.6,3.8,4298
20110301,2.5,-4.3,11.1,3.2,4314
20110302,0,-14.1,12.2,0,4314
20110303,-0.8,-21.1,7.7,0,4363
20110304,0.7,-17.5,10.6,0,4308
20110305,2.5,-9.4,12.6,0,4224
20110306,4.9,-5.1,14.6,0,4224
20110307,3.5,-5,13,0,4224
20110308,3,-10.2,11.9,0,3863
